anime_id,anime_name,anime_link
659,Azumanga_Daioh__Gekijou_Tanpen,https://myanimelist.net/anime/659/Azumanga_Daioh__Gekijou_Tanpen
19211,Suisei_no_Gargantia_Specials,https://myanimelist.net/anime/19211/Suisei_no_Gargantia_Specials
17409,Sukitte_Ii_na_yo__Mei_and_Marshmallow,https://myanimelist.net/anime/17409/Sukitte_Ii_na_yo__Mei_and_Marshmallow
569,Musekinin_Kanchou_Tylor,https://myanimelist.net/anime/569/Musekinin_Kanchou_Tylor
24695,Gokukoku_no_Brynhildr__Kara_Sawagi,https://myanimelist.net/anime/24695/Gokukoku_no_Brynhildr__Kara_Sawagi
7720,Ookiku_Furikabutte__Natsu_no_Taikai-hen,https://myanimelist.net/anime/7720/Ookiku_Furikabutte__Natsu_no_Taikai-hen
2969,Appleseed_Saga_Ex_Machina,https://myanimelist.net/anime/2969/Appleseed_Saga_Ex_Machina
11005,Holy_Knight,https://myanimelist.net/anime/11005/Holy_Knight
35333,Hitori_no_Shita__The_Outcast_2nd_Season,https://myanimelist.net/anime/35333/Hitori_no_Shita__The_Outcast_2nd_Season
23279,Gyakusatsu_Kikan,https://myanimelist.net/anime/23279/Gyakusatsu_Kikan
1576,Bakumatsu_Kikansetsu_Irohanihoheto,https://myanimelist.net/anime/1576/Bakumatsu_Kikansetsu_Irohanihoheto
35835,RErideD__Tokigoe_no_Derrida,https://myanimelist.net/anime/35835/RErideD__Tokigoe_no_Derrida
6951,Yu☆Gi☆Oh_Movie__Chou_Yuugou_Toki_wo_Koeta_Kizuna,https://myanimelist.net/anime/6951/Yu☆Gi☆Oh_Movie__Chou_Yuugou_Toki_wo_Koeta_Kizuna
7411,Kanojo_x_Kanojo_x_Kanojo__Sanshimai_to_no_DokiDoki_Kyoudou_Seikatsu,https://myanimelist.net/anime/7411/Kanojo_x_Kanojo_x_Kanojo__Sanshimai_to_no_DokiDoki_Kyoudou_Seikatsu
30514,Nisekoimonogatari,https://myanimelist.net/anime/30514/Nisekoimonogatari
1311,Chobits_Recap,https://myanimelist.net/anime/1311/Chobits_Recap
36108,Takunomi,https://myanimelist.net/anime/36108/Takunomi
9055,Tamayura,https://myanimelist.net/anime/9055/Tamayura
10624,Mardock_Scramble__The_Second_Combustion,https://myanimelist.net/anime/10624/Mardock_Scramble__The_Second_Combustion
5178,First_Squad__The_Moment_of_Truth,https://myanimelist.net/anime/5178/First_Squad__The_Moment_of_Truth
27911,Anime_de_Wakaru_Shinryounaika,https://myanimelist.net/anime/27911/Anime_de_Wakaru_Shinryounaika
33019,Reikenzan__Eichi_e_no_Shikaku,https://myanimelist.net/anime/33019/Reikenzan__Eichi_e_no_Shikaku
22125,Kuroko_no_Basket__Mou_Ikkai_Yarimasen_ka,https://myanimelist.net/anime/22125/Kuroko_no_Basket__Mou_Ikkai_Yarimasen_ka
22071,Mikakunin_de_Shinkoukei__Mite_Are_ga_Watashitachi_no_Tomatteiru_Ryokan_yo,https://myanimelist.net/anime/22071/Mikakunin_de_Shinkoukei__Mite_Are_ga_Watashitachi_no_Tomatteiru_Ryokan_yo
563,DNA²,https://myanimelist.net/anime/563/DNA²
1538,Pumpkin_Scissors,https://myanimelist.net/anime/1538/Pumpkin_Scissors
41074,Digimon_Adventure_,https://myanimelist.net/anime/41074/Digimon_Adventure_
252,Madlax,https://myanimelist.net/anime/252/Madlax
34823,Souryo_to_Majiwaru_Shikiyoku_no_Yoru_ni,https://myanimelist.net/anime/34823/Souryo_to_Majiwaru_Shikiyoku_no_Yoru_ni
1469,Monster_Farm__Enbanseki_no_Himitsu,https://myanimelist.net/anime/1469/Monster_Farm__Enbanseki_no_Himitsu
5702,Sora_wo_Miageru_Shoujo_no_Hitomi_ni_Utsuru_Sekai,https://myanimelist.net/anime/5702/Sora_wo_Miageru_Shoujo_no_Hitomi_ni_Utsuru_Sekai
1089,Macross__Do_You_Remember_Love,https://myanimelist.net/anime/1089/Macross__Do_You_Remember_Love
9014,Kuttsukiboshi,https://myanimelist.net/anime/9014/Kuttsukiboshi
15729,Hagure_Yuusha_no_Aesthetica__Hajirai_Ippai,https://myanimelist.net/anime/15729/Hagure_Yuusha_no_Aesthetica__Hajirai_Ippai
33031,Shakunetsu_no_Takkyuu_Musume,https://myanimelist.net/anime/33031/Shakunetsu_no_Takkyuu_Musume
6291,Full_Metal_Panic_The_Second_Raid_Episode_00,https://myanimelist.net/anime/6291/Full_Metal_Panic_The_Second_Raid_Episode_00
34839,Sanrio_Danshi,https://myanimelist.net/anime/34839/Sanrio_Danshi
33299,Magic-Kyun_Renaissance,https://myanimelist.net/anime/33299/Magic-Kyun_Renaissance
