anime_id,name,link
10717,Towa no Quon 6: Towa no Quon,https://myanimelist.net/anime/10717/Towa_no_Quon_6__Towa_no_Quon
10017,Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,https://myanimelist.net/anime/10017/Dragon_Ball__Super_Saiya-jin_Zetsumetsu_Keikaku
9874,Touhou Niji Sousaku Doujin Anime: Musou Kakyou,https://myanimelist.net/anime/9874/Touhou_Niji_Sousaku_Doujin_Anime__Musou_Kakyou
21241,Kyoukai no Kanata: Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami,https://myanimelist.net/anime/21241/Kyoukai_no_Kanata__Idol_Saiban_Mayoi_Nagara_mo_Kimi_wo_Sabaku_Tami
13263,Fate/Zero: Onegai! Einzbern Soudanshitsu,https://myanimelist.net/anime/13263/Fate_Zero__Onegai_Einzbern_Soudanshitsu
229,Ninin ga Shinobuden,https://myanimelist.net/anime/229/Ninin_ga_Shinobuden
3673,Nijuu Mensou no Musume,https://myanimelist.net/anime/3673/Nijuu_Mensou_no_Musume
17397,Cyclops Shoujo Saipuu,https://myanimelist.net/anime/17397/Cyclops_Shoujo_Saipuu
37188,Fumikiri Jikan,https://myanimelist.net/anime/37188/Fumikiri_Jikan
30344,The iDOLM@STER Cinderella Girls 2nd Season,https://myanimelist.net/anime/30344/The_iDOLMSTER_Cinderella_Girls_2nd_Season
579,Battle Programmer Shirase,https://myanimelist.net/anime/579/Battle_Programmer_Shirase
2385,One Piece: Jango no Dance Carnival,https://myanimelist.net/anime/2385/One_Piece__Jango_no_Dance_Carnival
20909,Kyoukai no Kanata: Mini Gekijou,https://myanimelist.net/anime/20909/Kyoukai_no_Kanata__Mini_Gekijou
37206,Anima Yell!,https://myanimelist.net/anime/37206/Anima_Yell
3508,Genius Party,https://myanimelist.net/anime/3508/Genius_Party
4705,Tengen Toppa Gurren Lagann: Parallel Works,https://myanimelist.net/anime/4705/Tengen_Toppa_Gurren_Lagann__Parallel_Works
568,Bubblegum Crisis Tokyo 2040,https://myanimelist.net/anime/568/Bubblegum_Crisis_Tokyo_2040
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,https://myanimelist.net/anime/279/Kyougoku_Natsuhiko__Kousetsu_Hyaku_Monogatari
10714,Towa no Quon 3: Mugen no Renza,https://myanimelist.net/anime/10714/Towa_no_Quon_3__Mugen_no_Renza
31439,Wagamama High Spec,https://myanimelist.net/anime/31439/Wagamama_High_Spec
12117,Detective Conan Movie 16: The Eleventh Striker,https://myanimelist.net/anime/12117/Detective_Conan_Movie_16__The_Eleventh_Striker
37496,Double Decker! Doug & Kirill,https://myanimelist.net/anime/37496/Double_Decker_Doug___Kirill
30464,Shinmai Maou no Testament Specials,https://myanimelist.net/anime/30464/Shinmai_Maou_no_Testament_Specials
21415,Machine-Doll wa Kizutsukanai Specials,https://myanimelist.net/anime/21415/Machine-Doll_wa_Kizutsukanai_Specials
38390,Chuubyou Gekihatsu Boy,https://myanimelist.net/anime/38390/Chuubyou_Gekihatsu_Boy
15881,Oniichan dakedo Ai sae Areba Kankeinai yo ne! Specials,https://myanimelist.net/anime/15881/Oniichan_dakedo_Ai_sae_Areba_Kankeinai_yo_ne_Specials
34866,Yu☆Gi☆Oh! VRAINS,https://myanimelist.net/anime/34866/Yu☆Gi☆Oh_VRAINS
12255,Carnival Phantasm: Illya-jou,https://myanimelist.net/anime/12255/Carnival_Phantasm__Illya-jou
1974,Glass no Kamen (2005),https://myanimelist.net/anime/1974/Glass_no_Kamen_2005
9581,MM! Specials,https://myanimelist.net/anime/9581/MM_Specials
34534,Natsume Yuujinchou Go Specials,https://myanimelist.net/anime/34534/Natsume_Yuujinchou_Go_Specials
